时间戳记,What is your current role at the university? ,How do you usually travel to campus? (Select all that apply)  ,"If there was a campus-only carpooling platform, would you use it?  ","In a carpooling system, which role would you prefer?  ",Do you often face difficulty finding a parking spot on campus?  ,"If the system allows users to log in using Student ID and password, how would you feel? ","If the system does not allow users to log in using Student ID and password, how would you feel? ","If the system allows users to report illegitimate parking, how would you feel?  ","If the system does not allow users to report illegitimate parking, how would you feel?  ","If the system allows riders to book a ride with a faculty member, how would you feel?  ","If the system does not allow riders to book a ride with a faculty member, how would you feel?  ","If the system allows drivers to override or empty a reserved parking spot, how would you feel?  ","If the system does not allow drivers to override or empty a reserved parking spot, how would you feel?  ","If the system allow drivers to view available parking spaces and car plate details, how would you feel?  ","If the system does not allows drivers to view available parking spaces and car plate details, how would you feel?  ","If the system provides an interactive school map with zooming capability for drivers, how would you feel?  ","If the system does not provide an interactive school map with zooming capability for drivers, how would you feel?  ","If the system allows drivers to accept or decline carpooling requests, how would you feel?  ","If the system does not allow drivers to accept or decline carpooling requests, how would you feel?  ","If the system allows admins to log in using their Admin ID and password, how would you feel?  ","If the system does not allow admins to log in using their Admin ID and password, how would you feel?  ","If the system allows admins to view reported parking violations, how would you feel?  ","If the system does not allow admins to view reported parking violations, how would you feel?  ","If the system allows admins to view car owner information, how would you feel?  ","If the system does not allow admins to view car owner information, how would you feel?  "
2025/05/11 2:40:16 下午 GMT+8,Student,Drive myself,Yes,Passenger,Frequently,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it
2025/05/11 10:06:55 下午 GMT+8,Student,Drive myself,Yes,Driver,Frequently,I expect it,I dislike it,I am neutral,I expect it,I like it,I dislike it,I dislike it,I expect it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it
2025/05/11 10:08:41 下午 GMT+8,Student,Walking / Cycling,Maybe,Passenger,Not applicable (I don't drive),I like it,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it
2025/05/11 10:18:26 下午 GMT+8,Student,Walking / Cycling,Maybe,Passenger,Not applicable (I don't drive),I like it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I am neutral,I am neutral,I like it,I dislike it,I expect it,I can tolerate it,I expect it,I dislike it,I like it,I dislike it,I like it,I dislike it,I expect it,I can tolerate it
2025/05/11 10:36:44 下午 GMT+8,Student,Drive myself,Yes,Passenger,Frequently,I am neutral,I expect it,I like it,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I expect it,I am neutral,I like it,I dislike it,I like it,I am neutral,I expect it,I am neutral,I like it,I am neutral,I dislike it,I like it
2025/05/11 10:38:41 下午 GMT+8,Student,Carpool with friends;Public transport;Walking / Cycling,Yes,Both,Frequently,I am neutral,I can tolerate it,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I can tolerate it,I can tolerate it,I can tolerate it,I can tolerate it,I am neutral,I can tolerate it,I am neutral,I can tolerate it,I am neutral,I can tolerate it
2025/05/11 10:48:20 下午 GMT+8,Student,Drive myself,No,I wouldn't use it,Frequently,I expect it,I am neutral,I like it,I am neutral,I like it,I dislike it,I expect it,I am neutral,I like it,I dislike it,I expect it,I am neutral,I expect it,I dislike it,I expect it,I am neutral,I like it,I am neutral,I dislike it,I am neutral
2025/05/11 10:51:29 下午 GMT+8,Student,Drive myself,Yes,Both,Frequently,I expect it,I dislike it,I like it,I am neutral,I like it,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I am neutral,I am neutral,I like it,I can tolerate it,I expect it,I can tolerate it
2025/05/11 10:55:08 下午 GMT+8,Student,Carpool with friends;Walking / Cycling,Yes,Passenger,Not applicable (I don't drive),I expect it,I am neutral,I am neutral,I am neutral,I expect it,I can tolerate it,I am neutral,I am neutral,I like it,I can tolerate it,I like it,I dislike it,I expect it,I can tolerate it,I am neutral,I am neutral,I expect it,I can tolerate it,I expect it,I can tolerate it
2025/05/11 11:05:03 下午 GMT+8,Student,Drive myself,Maybe,I wouldn't use it,Occasionally,I expect it,I am neutral,I like it,I am neutral,I am neutral,I can tolerate it,I am neutral,I am neutral,I like it,I dislike it,I like it,I dislike it,I am neutral,I am neutral,I like it,I dislike it,I like it,I dislike it,I expect it,I am neutral
2025/05/11 11:21:18 下午 GMT+8,Student,Drive myself,Yes,Both,Frequently,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I expect it,I like it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it
2025/05/12 10:59:45 上午 GMT+8,Student,Drive myself,No,I wouldn't use it,Frequently,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral
2025/05/12 4:34:41 下午 GMT+8,Student,Drive myself,Yes,Driver,Frequently,I expect it,I dislike it,I like it,I can tolerate it,I like it,I expect it,I am neutral,I expect it,I like it,I dislike it,I like it,I am neutral,I expect it,I expect it,I like it,I dislike it,I like it,I am neutral,I expect it,I am neutral
2025/05/12 5:18:49 下午 GMT+8,Student,Public transport,No,I wouldn't use it,Not applicable (I don't drive),I expect it,I dislike it,I am neutral,I can tolerate it,I am neutral,I am neutral,I dislike it,I like it,I like it,I dislike it,I expect it,I am neutral,I expect it,I am neutral,I like it,I dislike it,I expect it,I can tolerate it,I can tolerate it,I expect it
2025/05/12 9:23:14 下午 GMT+8,Student,Drive myself,Yes,Both,Frequently,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it
2025/05/12 9:24:02 下午 GMT+8,Student,Drive myself,Yes,Both,Frequently,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I expect it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it
2025/05/12 9:26:45 下午 GMT+8,Staff/Faculty,Drive myself,Yes,Both,Frequently,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it
2025/05/12 9:28:26 下午 GMT+8,Staff/Faculty,Public transport;Walking / Cycling,Maybe,Passenger,Not applicable (I don't drive),I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it
2025/05/12 11:00:13 下午 GMT+8,Student,Walking / Cycling,Yes,Passenger,Not applicable (I don't drive),I like it,I can tolerate it,I like it,I dislike it,I am neutral,I am neutral,I expect it,I am neutral,I like it,I can tolerate it,I like it,I am neutral,I like it,I am neutral,I like it,I can tolerate it,I like it,I am neutral,I like it,I am neutral
2025/05/12 11:58:02 下午 GMT+8,Student,Carpool with friends;Public transport;Walking / Cycling,Maybe,Passenger,Not applicable (I don't drive),I like it,I can tolerate it,I like it,I dislike it,I am neutral,I am neutral,I can tolerate it,I can tolerate it,I am neutral,I dislike it,I like it,I dislike it,I can tolerate it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it
2025/05/13 1:40:37 上午 GMT+8,Student,Drive myself,Maybe,Both,Frequently,I like it,I am neutral,I am neutral,I expect it,I expect it,I am neutral,I expect it,I am neutral,I expect it,I expect it,I like it,I like it,I expect it,I like it,I am neutral,I am neutral,I expect it,I can tolerate it,I am neutral,I am neutral
